Movie_ID,Avg_Rating,Watch_Count,Min_Date,Max_Date,Date_Diff,Std_Dev,Year,Year_Diff
1,3.749542961608775,547,2004-01-23,2005-12-30,707,1.0679199817573573,2003,1
2,3.5586206896551724,145,2004-10-16,2005-12-20,430,1.2795173898614487,2004,0
3,3.6411530815109345,2012,2003-02-11,2005-12-30,1053,0.9773446924510335,1997,6
4,2.73943661971831,142,2003-12-06,2005-12-27,752,1.302913143334972,1994,9
5,3.9192982456140353,1140,2004-11-02,2005-12-29,422,1.2924361023518398,2004,0
6,3.084396467124632,1019,2003-09-17,2005-12-29,834,1.2902619644715434,1997,6
7,2.129032258064516,93,2000-09-09,2005-12-22,1930,1.075677809080445,1992,8
8,3.1898054996646548,14910,2004-09-13,2005-12-31,474,1.3145366493375048,2004,0
9,2.6210526315789475,95,2004-08-20,2005-12-13,480,1.247797611866272,1991,13
10,3.180722891566265,249,2002-11-23,2005-12-21,1124,1.133911780930748,2001,1
11,3.0303030303030303,198,2003-05-25,2005-12-23,943,1.103336384219264,1999,4
12,3.4175824175824174,546,2000-01-14,2005-12-31,2178,1.058639605482336,1947,53
13,4.552,125,2005-03-11,2005-12-13,277,0.6654612758661614,2003,2
14,3.0254237288135593,118,2003-11-11,2005-12-19,769,1.1872676698091342,1982,21
15,3.286206896551724,290,2000-01-13,2005-12-22,2170,1.163524099771088,1988,12
16,3.0985550203779177,2699,2000-01-07,2005-12-31,2185,0.9869016826790922,1996,4
17,2.90320765334834,7108,2005-06-17,2005-12-30,196,1.0123347101769087,2005,0
18,3.7843685879500093,10722,2000-01-06,2005-12-31,2186,0.9463482741552823,1994,6
19,3.324675324675325,539,2002-07-03,2005-12-29,1275,1.0719313582357681,2000,2
20,3.146551724137931,116,2001-01-16,2005-12-22,1801,1.2318548075429048,1972,29
21,3.463302752293578,218,2003-10-28,2005-12-18,782,1.002775921366111,2002,1
22,2.2463054187192117,203,2003-12-28,2005-12-20,723,1.0892924605786374,2000,3
23,3.55609756097561,615,2002-01-10,2005-12-30,1450,1.1427541407918735,2001,1
24,2.9939984996249063,1333,2002-07-20,2005-12-30,1259,1.0618811527569032,1981,21
25,3.9701739850869924,1207,2003-09-21,2005-12-31,832,1.0265651656645236,1997,6
26,2.7937212079849854,5861,2004-02-08,2005-12-31,692,1.0886953193483306,2004,0
27,3.5274725274725274,273,2004-07-23,2005-12-29,524,1.2248108438051892,1962,42
28,3.823254175890521,39752,2002-06-23,2005-12-31,1287,0.9722597493188619,2002,0
29,3.598470363288719,523,2001-07-02,2005-12-30,1642,1.1035286283132648,2001,0
30,3.7618420274800908,118413,2003-11-11,2005-12-31,781,0.938740765448648,2003,0
31,3.0542986425339365,221,2000-02-12,2005-11-16,2104,1.3027042088907923,1999,1
32,4.071736785329018,1854,2005-02-12,2005-12-27,318,1.1665094095942876,2004,1
33,4.168650217706822,6890,2003-10-20,2005-12-31,803,1.1528570886431508,2000,3
34,2.712962962962963,108,2004-01-29,2005-12-20,691,1.2682383537726352,2003,1
35,3.1454112038140645,839,2003-01-16,2005-12-28,1077,1.1280010796633042,2000,3
36,3.020234291799787,939,2003-06-14,2005-12-28,928,1.106587923322153,1992,11
37,3.9893238434163703,281,2004-07-30,2005-12-31,519,0.9764512487469413,1973,31
38,2.0511221945137157,802,2004-01-05,2005-12-27,722,1.1530256512067483,2003,1
39,2.4361702127659575,752,2002-08-08,2005-12-28,1238,1.1358673488153805,2000,2
40,2.920570264765784,491,2005-05-27,2005-12-29,216,1.0651264563477758,2004,1
41,1.6344086021505377,93,2001-04-21,2005-12-22,1706,0.7910497460936095,2000,1
42,2.328125,128,2003-09-02,2005-12-29,849,0.9483460529893465,2002,1
43,2.5714285714285716,105,2001-06-27,2005-12-13,1630,1.2849509333429432,2000,1
44,3.6840371720974003,8501,2000-01-06,2005-12-29,2184,0.9697376142547145,1996,4
45,2.9686903398243603,2619,1999-12-25,2005-12-28,2195,0.9633134122792837,1999,0
46,3.8064958828911255,6558,1999-12-20,2005-12-31,2203,1.0430305146420358,1964,35
47,3.266382978723404,2350,2001-11-14,2005-12-29,1506,1.0908583829398382,1952,49
48,3.7109440267335003,3591,2002-03-14,2005-12-31,1388,1.0647504709507283,2001,1
49,3.6666666666666665,231,2003-11-19,2005-12-28,770,1.2568652055521055,2003,0
50,3.027439024390244,328,2001-03-21,2005-12-28,1743,0.9779730782779014,1941,60
51,3.566666666666667,90,2003-01-15,2005-08-06,934,1.382474576640084,2002,1
52,3.7571400816009324,5147,2003-08-06,2005-12-31,878,0.9438599316320467,2002,1
53,1.6754385964912282,114,2004-08-20,2005-11-07,444,0.9071555665154459,2003,1
54,2.9874213836477987,159,2004-04-09,2005-12-28,628,1.0372030389932376,1952,52
55,3.024522028262677,2406,1999-12-09,2005-12-31,2214,1.0854458065195394,1995,4
56,3.6486633933442443,1833,2004-02-09,2005-12-30,690,0.9911560960971882,2004,0
57,3.6785513756316677,3562,2000-03-08,2005-12-30,2123,1.035313209360638,1995,5
58,3.6120080436656132,17405,2002-02-05,2005-12-29,1423,0.9522285826761727,1996,6
59,2.7892156862745097,204,2004-07-23,2005-12-22,517,1.0596408781699058,2003,1
60,2.1491525423728812,295,2002-05-27,2005-12-30,1313,1.0839542252170815,1969,33
61,2.9523809523809526,147,2000-02-18,2005-11-22,2104,1.2785551205744052,1999,1
62,3.6241379310344826,290,2003-06-13,2005-12-30,931,0.9983221815331127,1991,12
63,3.25,184,2004-05-14,2005-12-28,593,0.9931459096297017,1943,61
64,2.4210526315789473,95,2002-06-20,2005-12-18,1277,1.163075045313171,2001,1
65,2.3294573643410854,258,2004-12-31,2005-12-26,360,1.1314329677148076,2000,4
66,2.2951807228915664,166,2001-12-29,2005-12-27,1459,1.113379089728347,1989,12
67,2.557093425605536,289,2000-01-30,2005-12-14,2145,1.107593673110122,1997,3
68,4.14259927797834,2216,2004-04-27,2005-12-31,613,1.1705449384339688,2004,0
69,3.293103448275862,116,2005-02-22,2005-12-20,301,1.462679146244169,2003,2
70,2.7317784256559765,343,2001-04-28,2005-12-20,1697,1.0859598594139348,1999,2
71,3.7700192184497117,1561,2003-05-04,2005-12-30,971,0.9878871845377913,1995,8
72,3.1452513966480447,179,2002-06-20,2005-12-22,1281,1.3201622808127123,1974,28
73,3.891566265060241,747,2004-08-28,2005-12-28,487,1.0081549969865249,1954,50
74,3.185567010309278,388,2004-12-31,2005-12-27,361,0.9917478310316068,1999,5
75,2.5707762557077625,219,2001-02-24,2005-12-18,1758,1.0174012767663172,1997,4
76,4.090385917400136,2954,2004-02-13,2005-12-31,687,1.1437290498791552,1952,52
77,2.852772466539197,13598,1999-12-21,2005-12-30,2201,1.1261286813757552,1995,4
78,2.9416494845360823,4850,2000-01-05,2005-12-30,2186,1.138074157070574,1996,4
79,3.765381218722402,3397,2000-01-05,2005-12-31,2187,0.962183794038607,1956,44
80,2.7992700729927007,274,2003-03-15,2005-12-29,1020,1.0090430929466976,1979,24
81,3.4395516413130505,1249,1999-12-27,2005-12-31,2196,0.9974672047012049,1991,8
82,3.042016806722689,119,2005-04-09,2005-12-28,263,0.9776741509715045,1951,54
83,3.729331339457381,18724,2000-01-05,2005-12-31,2187,0.8613255531485466,1983,17
84,3.2212936046511627,2752,2002-06-29,2005-12-29,1279,1.093623864475017,2002,0
85,4.2518796992481205,266,2005-05-14,2005-12-31,231,0.9676348526766831,2005,0
86,1.9545454545454546,176,2000-02-17,2005-12-27,2140,1.0892628270961542,1996,4
87,2.8119658119658117,117,2003-01-13,2005-12-18,1070,1.1739384341169534,2002,1
88,3.8353783231083844,978,2003-07-21,2005-12-30,893,1.1678462229379123,1998,5
89,2.6913439635535306,878,2001-05-15,2005-12-27,1687,1.0415289032190134,2000,1
90,3.496,625,2001-01-16,2005-12-27,1806,1.0017932638971694,1951,50
91,3.8959435626102294,567,2005-02-14,2005-12-30,319,1.1924828377649566,2005,0
92,3.5652173913043477,161,2004-08-12,2005-12-26,501,1.4696198857853184,2002,2
93,2.689655172413793,174,2005-06-10,2005-12-31,204,1.083884523717097,2004,1
94,3.6842105263157894,342,2000-05-26,2005-12-28,2042,1.1688713467886092,2000,0
95,2.5828877005347595,935,2002-03-26,2005-12-27,1372,1.1703539075680955,1985,17
96,3.3688524590163933,488,2001-01-04,2005-12-29,1820,1.089059422541104,2000,1
97,3.87182829336114,11508,2002-11-15,2005-12-31,1142,0.9004477673302733,2002,0
98,3.9153846153846152,130,2004-10-15,2005-12-14,425,0.9885751659212402,1965,39
99,2.4206349206349205,126,2001-10-10,2005-10-13,1464,1.0533996362496019,1989,12
100,2.6538461538461537,78,2001-07-28,2005-12-22,1608,1.182413590120605,1993,8
101,3.3727272727272726,330,2001-06-29,2005-12-13,1628,1.1916050648436034,1997,4
102,2.7363636363636363,330,2004-11-22,2005-12-28,401,1.2204733203660532,2004,0
103,3.6555023923444976,209,2005-05-12,2005-12-31,233,1.3430665475679797,1976,29
104,3.6977142857142855,3500,2001-03-21,2005-12-31,1746,1.0035919647684741,1965,36
105,3.1302083333333335,192,2004-08-28,2005-12-28,487,1.0123447244820987,2002,2
106,4.097872340425532,940,2004-09-03,2005-12-30,483,1.0427475302299658,2004,0
107,3.3522316043425815,829,2001-03-21,2005-12-03,1718,1.3054828504674787,2000,1
108,3.167315175097276,19018,2004-01-26,2005-12-31,705,0.9490796186100409,2004,0
109,2.677064220183486,545,2000-12-21,2005-12-27,1832,0.9955445808261448,1996,4
110,3.0338119499768412,2159,2000-09-09,2005-12-29,1937,0.948275769958558,1989,11
111,3.0828824642347397,30127,2003-09-01,2005-12-31,852,0.9942081907404571,2003,0
112,3.00418410041841,239,2003-01-15,2005-12-26,1076,1.109538127655346,1993,10
113,3.8851399856424984,1393,2002-03-23,2005-12-30,1378,1.0225975481469478,2000,2
114,3.366822429906542,428,2000-01-08,2005-12-29,2182,1.1628609620702564,1989,11
115,3.539039039039039,666,2003-09-12,2005-12-28,838,1.1381854606497852,1973,30
116,3.539076376554174,1126,2004-10-13,2005-12-31,444,1.0523120109471615,2004,0
117,3.46177370030581,981,2003-04-01,2005-12-30,1004,0.999906380189843,1957,46
118,3.432952182952183,19240,2000-01-05,2005-12-31,2187,1.0932295769159721,1985,15
119,2.6979166666666665,96,2000-01-07,2005-12-20,2174,1.125024366207863,1999,1
120,2.424778761061947,339,2004-04-23,2005-12-27,613,1.0917006146254606,2004,0
121,3.6161616161616164,99,2005-03-09,2005-12-31,297,1.2347607444613178,2003,2
122,2.911886457717327,3382,2003-03-23,2005-12-30,1013,1.0734270064260285,2002,1
123,2.8333333333333335,276,2004-12-22,2005-12-30,373,1.0168281044205032,2000,4
124,2.2662721893491122,169,2000-11-24,2005-12-19,1851,1.0089414286391183,2000,0
125,3.3707345286292654,1729,2004-04-23,2005-12-31,617,0.8960300711450505,1981,23
126,3.201858108108108,1184,2004-02-26,2005-12-28,671,1.0951193931915266,2003,1
127,2.630391506303915,3014,2001-01-12,2005-12-23,1806,1.1102898229202915,1987,14
128,3.2158273381294964,417,2000-01-17,2005-12-28,2172,1.301418918290896,1985,15
129,2.1481481481481484,756,2003-03-15,2005-12-26,1017,1.051902979062615,2003,0
130,2.2325581395348837,86,2000-11-17,2005-12-18,1857,1.0366736238866987,1999,1
131,2.6950354609929077,705,2002-03-12,2005-12-30,1389,1.0919596542568881,2002,0
132,3.0746987951807228,830,2002-07-31,2005-12-21,1239,1.2964499521874704,1981,21
133,3.737807257120562,2563,2004-10-20,2005-12-29,435,1.379820904553792,2003,1
