Movie_ID,Movie_Title,Avg_Rating,Score
11148,The Land Before Time IV: Journey Through the Mists,4.2,1.6800000000000002
10011,Lamb of God: Killadelphia,4.27906976744186,1.3931855056787452
13755,Mobsters and Mormons,4.0,1.3333333333333333
3033,Ghost in the Shell: Stand Alone Complex: 2nd Gig,4.586363636363636,1.1674380165289253
13,Lord of the Rings: The Return of the King: Extended Edition: Bonus Material,4.552,1.09248
14961,Lord of the Rings: The Return of the King: Extended Edition,4.723269925683507,1.0628403942678017
7230,The Lord of the Rings: The Fellowship of the Ring: Extended Edition,4.716610825093296,1.0583498589443499
7057,Lord of the Rings: The Two Towers: Extended Edition,4.702611063648014,1.0536178995657342
15408,Schoolhouse Rock!: Special 30th Anniversary Edition: Bonus Material,4.028248587570621,1.0241309968399883
15217,Baki the Grappler,4.275,1.0153125
1444,Pride FC: The Return of the Warriors,3.9166666666666665,1.0102513227513228
2321,Get Backers,4.325878594249201,1.0089109820453408
6522,Trailer Park Boys: Seasons 1 & 2,4.425742574257426,1.0078423683952555
5582,Star Wars: Episode V: The Empire Strikes Back,4.543700659673408,1.0010194640301358
14550,The Shawshank Redemption: Special Edition,4.593383932407275,1.0005394000269348
16265,Star Wars: Episode IV: A New Hope,4.504097013523666,0.9869103441657968
9628,Star Wars: Episode VI: Return of the Jedi,4.460729802129528,0.9828105472017368
11202,Initial D,4.264401772525849,0.9826391085879356
8607,Shakira: Live and Off the Record,3.779527559055118,0.9820819641639282
10042,Raiders of the Lost Ark,4.504035123337732,0.9816428189834647
15538,Fullmetal Alchemist,4.605021432945499,0.9785318047961348
12834,Family Guy: Vol. 2: Season 3,4.527519289221416,0.9766400037960437
5349,Gankutsuou: The Count of Monte Cristo,4.25,0.9739583333333333
8038,Cinderella: Special Edition,4.387927768657659,0.9730017883271687
16954,Indiana Jones and the Last Crusade,4.333190133037694,0.9696834017224596
12870,Schindler's List,4.458004172392996,0.9663908946887655
14240,Lord of the Rings: The Return of the King,4.5451207887760265,0.9638970377912758
13673,Toy Story,4.352103067867306,0.9637126837804636
12293,The Godfather,4.504490863092159,0.9579038523176315
3444,Family Guy: Freakin' Sweet Collection,4.516006781689439,0.9570673592390604
